fips,farms,fland,tcland,clay,sand,flood,kfact,lslop,irr,perm,wet,moist,salt,year,rvalue_lb_acre,rvalue_me,rtfsale,rtotexp,rprofit,rgpay_tot,rvalue_me_acre,rprofit_acre
1003,1119,223.502,158.961,0,0,.033878505,.19405374,139.50409,0,5.3575935,.39748949,.11976928,.0083970996,1982,2322.696844118585,,73.94305403251514,,,,,
1003,991,192.082,136.753,0,0,.042490844,.19986813,137.32234,0,4.6337729,.39390981,.12234432,.0083970996,1987,1813.043032786885,56083.46448087432,70.79115396174862,63.33990259562842,7.451251366120219,1.7049714,291976.69,38792.035
1003,1062,181.337,108.368,0,0,.05078809,.20548162,135.77058,0,4.1029773,.39033011,.12440018,.0083970996,2002,2502,69546,85.7,71.81999999999999,13.88,2.279,383517.97,76542.57
1003,977,165.565,117.013,0,0,.05078809,.20548162,135.77058,0,4.1029773,.39033011,.12440018,.0083970996,1997,2764.242926011319,46864.49895200168,67.95085086983862,49.17276178998114,18.77808907985747,1.3504864,283058,113418.23
1003,941,167.832,120.586,0,0,.049828179,.20539519,136.14691,0,4.0917525,.39033011,.1243213,.0083970996,1992,1696.281481481481,40485.46817129629,57.60249039351852,48.76688784722222,8.835602546296295,1.1601698,241226.16,52645.52
1003,1215,256.998,183.377,0,0,.033878505,.19405374,139.50409,0,5.3575935,.39748949,.11976928,.0083970996,1978,2713.710008741259,,115.5044147727273,,,,,
1005,421,177.189,80.496,.11600928,.46171695,0,.16751741,90.15081,0,7.7879353,.1571034,.10106149,0,1992,980.6627314814815,23676.86076388889,38.18440451388889,29.00063055555556,9.183773958333333,1.3360627,133624.89,51830.383
1005,723,253.16,99.81100000000001,.11312217,.42194569,0,.17332579,87.16629,0,7.4391403,.1567577,.1013009,0,1978,984.9425262237763,,48.31222705419581,,,,,
1005,587,222.066,81.86499999999999,.11312217,.42194569,0,.17332579,87.16629,0,7.4391403,.1567577,.1013009,0,1982,958.9419827861013,,40.51446923812559,,,,,
1005,417,153.775,63.408,.097724229,.42302543,0,.17049532,89.692101,0,7.5132532,.1571034,.09984605,0,1997,1018.864598616642,21852.13665898134,26.4653897505764,21.73977792915531,4.725611821421086,.72105944,142104.61,30730.689
1005,531,190.815,66.82599999999999,.097724229,.42302543,0,.17049532,89.692101,0,7.5132532,.1571034,.09984605,0,2002,1197,33550,60.564,51.47,9.093999999999999,2.2739999,175824.75,47658.727
1005,498,207.906,78.654,.1201923,.44350961,0,.16983174,87.962738,0,7.6108174,.15693055,.10109375,0,1987,702.4653005464481,24038.81762295082,28.01613633879781,24.274868715847,3.741267622950819,1.4248385,115623.49,17994.996
1009,1191,138.509,73.40000000000001,0,0,0,.24602306,70.853027,.095100865,2.5760808,.0322892,.14580692,0,1997,2331.170928526514,37331.46070006288,150.5192452316076,126.1712175644519,24.34802766715573,.27707881,269523.72,175786.61
